onset	duration	trial type	value
16.051	16	high	wake
48.069	16	low	wake
80.068	16	high	wake
112.07	16	high	wake
144.12	16	low	NaN
176.2	16	low	N1
208.2	16	low	NaN
240.2	16	high	wake
272.2	16	high	wake
304.21	16	high	wake
336.21	16	high	wake
368.21	16	high	wake
400.21	16	high	wake
432.21	16	low	N1
464.26	16	low	N1
496.26	16	low	N1
528.26	16	low	N1
560.26	16	low	N1
592.26	16	high	N1
624.26	16	low	N1
656.38	16	high	N1
688.38	16	low	N1
720.37	16	high	N1
752.36	16	low	N1
784.35	16	high	N1
816.37	16	high	wake
848.38	16	low	wake
880.37	16	high	N1
912.37	16	low	N1
944.42	16	high	N1
976.46	16	low	N1
1008.5	16	low	N1
1040.5	16	high	N1
1072.5	16	low	N1
1104.5	16	high	N1
1136.5	16	low	N1
1168.5	16	low	N1
1200.5	16	high	N1
1232.5	16	low	N1
1264.5	16	low	N1
1296.5	16	high	N1
1328.5	16	low	N1
1360.5	16	low	N1
1392.5	16	high	N1
1424.5	16	low	N1
1456.5	16	high	N1
1488.5	16	low	NaN
1520.5	16	high	wake
1552.5	16	high	wake
1584.5	16	high	wake
1616.5	16	low	wake
1648.5	16	high	wake
1680.7	16	high	N1
1712.8	16	high	wake
1744.8	16	low	wake
1776.8	16	high	N1
1808.8	16	high	N1
1840.8	16	low	wake
1872.8	16	high	wake
1904.8	16	high	wake
1936.8	16	high	wake
1968.8	16	low	wake
2000.8	16	low	wake
2032.8	16	high	wake
2064.8	16	low	wake
2096.8	16	high	wake
2128.8	16	high	wake
2160.8	16	high	N1
2192.8	16	low	N1
2224.8	16	low	N1
2256.8	16	low	N1
2288.8	16	low	N1
2320.8	16	low	N1
2352.8	16	low	N1
2384.8	16	high	N1
2416.8	16	high	NaN
2448.8	16	low	NaN
2480.8	16	low	NaN
2512.8	16	high	NaN
2544.8	16	high	NaN
2576.8	16	low	NaN
2608.8	16	high	NaN
2640.8	16	low	N1
2672.8	16	high	N1
2704.8	16	low	N2
2736.8	16	high	N2
2768.8	16	low	N1
2800.8	16	high	N2
2832.8	16	high	wake
2864.8	16	low	wake
2896.8	16	low	NaN
2928.8	16	low	wake
2960.8	16	low	wake
2992.8	16	high	wake
3024.8	16	high	wake
3056.8	16	low	wake
3088.8	16	high	wake
3120.8	16	high	wake
3152.8	16	high	wake
3184.8	16	low	wake
3216.8	16	high	wake
3248.8	16	high	wake
3280.8	16	low	wake
3312.8	16	low	wake
3344.8	16	low	wake
3376.8	16	high	wake
3408.8	16	low	wake
3440.8	16	low	wake
3472.8	16	high	wake
3504.8	16	high	wake
3536.8	16	low	wake
3568.8	16	low	wake
3600.8	16	low	wake
3632.8	16	high	wake
3664.8	16	high	wake
3696.8	16	high	wake
3728.7	16	high	wake
3760.7	16	low	wake
3792.7	16	high	wake
3824.7	16	high	wake
3856.7	16	high	wake
3888.7	16	high	wake
3920.7	16	low	wake
3952.7	16	low	wake
3984.7	16	low	wake
4016.7	16	low	wake
4048.7	16	low	wake
