onset	duration	trial type	value
16.094	16	low	NaN
48.092	16	high	NaN
80.09	16	high	NaN
112.09	16	high	NaN
144.1	16	high	NaN
176.12	16	low	NaN
208.12	16	low	N2
240.11	16	low	N2
272.11	16	high	N2
304.11	16	low	N2
336.11	16	low	N2
368.11	16	low	N2
400.1	16	low	N2
432.1	16	high	N2
464.1	16	high	NaN
496.11	16	low	NaN
528.11	16	high	NaN
560.11	16	low	NaN
592.11	16	low	N2
624.11	16	high	N2
656.1	16	low	N2
688.1	16	low	N2
720.12	16	low	N2
752.12	16	high	N2
784.11	16	high	NaN
816.11	16	low	NaN
848.11	16	high	NaN
880.11	16	high	NaN
912.11	16	low	NaN
944.1	16	low	NaN
976.22	16	high	NaN
1008.2	16	low	NaN
1040.2	16	low	NaN
1072.2	16	high	NaN
1104.2	16	low	NaN
1136.2	16	high	NaN
1168.2	16	high	NaN
1200.2	16	high	NaN
1232.2	16	high	NaN
1264.3	16	high	NaN
1296.3	16	low	NaN
1328.3	16	high	NaN
1360.3	16	high	NaN
1392.3	16	low	NaN
1424.3	16	low	NaN
1456.3	16	low	NaN
1488.3	16	high	NaN
1520.3	16	low	NaN
1552.3	16	low	NaN
1584.3	16	high	NaN
1616.3	16	low	NaN
1648.3	16	low	NaN
1680.3	16	high	N2
1712.3	16	high	N1
1744.3	16	high	N2
1776.3	16	low	N2
1808.3	16	high	N2
1840.3	16	low	N2
1872.3	16	high	N2
1904.3	16	low	N2
1936.3	16	high	N2
1968.3	16	high	N2
2000.3	16	high	N2
2032.3	16	high	N2
2064.3	16	high	N2
2096.3	16	high	N2
2128.3	16	high	N2
2160.3	16	low	N2
2192.3	16	high	N2
2224.3	16	low	N2
2256.3	16	high	wake
2288.3	16	high	N1
2320.3	16	high	N2
2352.3	16	low	N1
2384.3	16	low	N1
2416.3	16	low	NaN
2448.3	16	low	NaN
2480.3	16	low	NaN
2512.3	16	low	wake
2544.3	16	high	wake
2576.3	16	low	wake
2608.3	16	low	wake
2640.3	16	low	wake
2672.3	16	low	wake
2704.3	16	low	wake
2736.3	16	high	wake
2768.3	16	high	wake
2800.3	16	high	wake
2832.3	16	high	wake
2864.3	16	high	wake
2896.3	16	low	wake
2928.3	16	high	wake
2960.3	16	high	wake
2992.3	16	low	wake
3024.3	16	low	wake
3056.3	16	low	wake
3088.3	16	high	wake
3120.3	16	high	wake
3152.3	16	low	wake
3184.2	16	low	wake
3216.2	16	low	wake
3248.2	16	low	wake
3280.2	16	low	wake
3312.2	16	low	wake
3344.2	16	low	wake
3376.2	16	high	NaN
3408.2	16	low	NaN
3440.2	16	low	wake
3472.2	16	low	wake
3504.2	16	high	wake
3536.2	16	high	wake
3568.2	16	high	NaN
3600.2	16	low	wake
3632.2	16	low	wake
3664.2	16	high	wake
3696.2	16	high	wake
3728.2	16	high	wake
3760.2	16	high	wake
3792.2	16	high	wake
3824.2	16	low	wake
3856.2	16	high	wake
3888.2	16	low	wake
3920.2	16	high	wake
3952.2	16	high	wake
3984.2	16	low	wake
4016.2	16	high	wake
4048.2	16	high	wake
