onset	duration	trial type	value
16.05	16	high	wake
48.066	16	high	wake
80.081	16	low	wake
112.1	16	high	wake
144.16	16	high	wake
176.31	16	low	wake
208.32	16	high	wake
240.32	16	low	wake
272.32	16	low	wake
304.32	16	low	wake
336.32	16	high	wake
368.31	16	high	wake
400.31	16	low	wake
432.31	16	high	wake
464.31	16	high	wake
496.34	16	low	wake
528.37	16	high	wake
560.37	16	low	wake
592.37	16	high	wake
624.38	16	high	wake
656.45	16	low	wake
688.45	16	high	wake
720.45	16	low	wake
752.44	16	low	wake
784.44	16	low	wake
816.46	16	high	wake
848.47	16	high	wake
880.49	16	high	wake
912.48	16	high	wake
944.58	16	high	wake
976.57	16	high	wake
1008.6	16	low	wake
1040.6	16	low	wake
1072.6	16	high	wake
1104.6	16	high	wake
1136.6	16	high	wake
1168.6	16	low	wake
1200.6	16	low	wake
1232.6	16	low	wake
1264.6	16	low	wake
1296.6	16	low	wake
1328.6	16	low	wake
1360.6	16	low	wake
1392.6	16	low	wake
1424.6	16	high	wake
1456.6	16	low	wake
1488.6	16	high	wake
1520.5	16	low	wake
1552.5	16	high	wake
1584.5	16	high	wake
1616.6	16	low	wake
1648.8	16	high	wake
1680.8	16	low	wake
1712.8	16	high	wake
1744.8	16	low	wake
1776.8	16	high	wake
1808.8	16	low	wake
1840.8	16	low	wake
1872.8	16	low	N1
1904.8	16	low	wake
1936.8	16	low	wake
1968.8	16	low	wake
2000.8	16	high	NaN
2032.8	16	high	N1
2064.8	16	high	NaN
2096.8	16	high	NaN
2128.8	16	low	NaN
2160.8	16	low	wake
2192.8	16	high	wake
2224.8	16	low	wake
2256.8	16	high	wake
2288.8	16	high	N1
2320.8	16	high	N1
2352.8	16	high	N1
2384.8	16	high	N1
2416.8	16	high	NaN
2448.8	16	low	NaN
2480.8	16	low	N1
2512.8	16	low	NaN
2544.8	16	low	NaN
2576.8	16	high	N1
2608.8	16	low	N1
2640.8	16	low	N1
2672.8	16	low	wake
2704.8	16	high	N1
2736.8	16	high	wake
2768.8	16	low	wake
2800.8	16	low	wake
2832.8	16	low	wake
2864.8	16	low	wake
2896.8	16	high	wake
2928.8	16	low	wake
2960.8	16	high	wake
2992.8	16	high	wake
3024.8	16	low	wake
3056.8	16	high	wake
3088.8	16	low	NaN
3120.8	16	high	N1
3152.8	16	high	N1
3184.8	16	high	N1
3216.8	16	high	wake
3248.8	16	high	N1
3280.8	16	low	N1
3312.8	16	high	N1
3344.8	16	low	N1
3376.8	16	high	NaN
3408.8	16	low	N1
3440.8	16	high	NaN
3472.8	16	high	NaN
3504.8	16	low	NaN
3536.8	16	high	NaN
3568.8	16	low	NaN
3600.8	16	low	wake
3632.8	16	high	wake
3664.8	16	low	wake
3696.8	16	low	wake
3728.8	16	high	wake
3760.8	16	high	wake
3792.8	16	low	wake
3824.8	16	low	wake
3856.9	16	high	wake
3888.9	16	high	wake
3920.9	16	low	wake
3952.9	16	low	wake
3984.9	16	high	wake
4016.9	16	high	wake
4048.9	16	low	wake
