onset	duration	trial type	value
16.1	16	low	wake
48.114	16	high	wake
80.115	16	high	wake
112.13	16	high	wake
144.14	16	high	wake
176.14	16	low	wake
208.14	16	low	wake
240.25	16	low	wake
272.25	16	low	wake
304.25	16	high	wake
336.25	16	low	wake
368.25	16	low	wake
400.24	16	low	wake
432.24	16	high	wake
464.24	16	high	wake
496.24	16	low	wake
528.3	16	low	NaN
560.32	16	low	NaN
592.32	16	high	wake
624.32	16	low	wake
656.31	16	high	wake
688.31	16	high	wake
720.31	16	high	wake
752.31	16	low	N1
784.31	16	high	wake
816.34	16	low	N1
848.33	16	high	N1
880.33	16	high	wake
912.33	16	high	N1
944.35	16	low	N1
976.36	16	high	NaN
1008.4	16	low	wake
1040.4	16	low	NaN
1072.4	16	high	N1
1104.4	16	low	N1
1136.4	16	low	NaN
1168.4	16	high	wake
1200.4	16	low	wake
1232.4	16	high	wake
1264.4	16	high	N1
1296.5	16	high	N1
1328.5	16	low	N1
1360.5	16	low	N1
1392.5	16	low	wake
1424.5	16	high	wake
1456.5	16	low	N1
1488.5	16	high	N1
1520.5	16	low	N1
1552.5	16	low	NaN
1584.5	16	high	NaN
1616.5	16	low	N1
1648.5	16	high	N1
1680.5	16	high	N1
1712.5	16	high	wake
1744.5	16	low	N1
1776.5	16	high	wake
1808.5	16	low	N1
1841.7	16	low	N1
1873.8	16	low	N2
1905.8	16	low	wake
1937.8	16	low	NaN
1969.8	16	low	N1
2001.7	16	high	NaN
2033.7	16	high	wake
2065.7	16	low	wake
2097.7	16	low	wake
2129.7	16	low	N1
2161.7	16	low	N1
2193.7	16	low	N1
2225.7	16	high	N1
2257.7	16	high	wake
2289.7	16	high	wake
2321.7	16	low	N1
2353.7	16	low	N1
2385.7	16	high	N2
2417.7	16	low	N2
2449.7	16	high	NaN
2481.7	16	high	wake
2513.7	16	high	wake
2545.7	16	high	wake
2577.7	16	low	wake
2609.7	16	high	wake
2641.7	16	high	wake
2673.7	16	high	wake
2705.7	16	high	wake
2737.7	16	high	wake
2769.7	16	low	wake
2801.7	16	high	wake
2833.7	16	low	wake
2865.7	16	low	wake
2897.7	16	high	NaN
2929.7	16	high	NaN
2961.7	16	high	wake
2993.7	16	low	wake
3025.7	16	low	wake
3057.7	16	high	wake
3089.7	16	low	wake
3121.7	16	high	N1
3153.7	16	high	wake
3185.7	16	low	N1
3217.7	16	high	wake
3249.7	16	low	N1
3281.7	16	high	N1
3313.7	16	high	N1
3345.7	16	low	N1
3377.7	16	low	N1
3409.7	16	high	N1
3441.7	16	high	N1
3473.7	16	low	N1
3505.7	16	low	N1
3537.7	16	low	N1
3569.7	16	low	N1
3601.7	16	high	N1
3633.7	16	low	N1
3665.7	16	high	N2
3697.7	16	high	N2
3729.7	16	low	N2
3761.7	16	high	N1
3793.7	16	high	N1
3825.7	16	low	N1
3857.7	16	high	NaN
3889.7	16	low	NaN
3921.7	16	high	N1
3953.7	16	low	N1
3985.7	16	high	N1
4017.7	16	low	N1
4049.7	16	high	N1
