onset	duration	trial type	value
16.028	16	high	wake
48.027	16	high	wake
80.024	16	low	wake
112.02	16	low	wake
144.02	16	low	wake
176.02	16	low	wake
208.02	16	high	wake
240.02	16	low	wake
272.01	16	high	wake
304.01	16	high	wake
336.03	16	high	wake
368.02	16	high	wake
400.02	16	low	wake
432.02	16	high	wake
464.02	16	high	wake
496.02	16	high	wake
528.01	16	low	wake
560.01	16	low	wake
592.01	16	low	wake
624.01	16	low	wake
656.01	16	low	wake
688	16	low	wake
720	16	low	wake
752	16	high	wake
784.03	16	high	wake
816.07	16	high	wake
848.06	16	high	wake
880.06	16	low	wake
912.06	16	high	wake
944.08	16	high	wake
976.11	16	high	wake
1008.1	16	low	wake
1040.1	16	low	wake
1072.2	16	high	wake
1104.2	16	high	wake
1136.2	16	low	wake
1168.2	16	high	wake
1200.2	16	low	wake
1232.2	16	high	wake
1264.2	16	high	wake
1296.2	16	high	wake
1328.2	16	low	wake
1360.2	16	low	wake
1392.2	16	low	wake
1424.2	16	low	wake
1456.2	16	low	wake
1488.2	16	low	wake
1520.2	16	low	wake
1552.2	16	high	wake
1584.2	16	high	wake
1616.2	16	low	wake
1648.2	16	low	wake
1680.2	16	high	wake
1712.2	16	high	wake
1744.2	16	low	wake
1776.2	16	high	wake
1808.2	16	high	wake
1840.2	16	low	wake
1872.2	16	high	wake
1904.2	16	low	wake
1936.2	16	low	NaN
1968.1	16	low	N1
2002.2	16	low	NaN
2034.6	16	low	wake
2066.6	16	high	wake
2098.6	16	high	wake
2130.6	16	high	N1
2162.6	16	high	N1
2194.6	16	high	N1
2226.6	16	low	N1
2258.6	16	low	N1
2290.6	16	low	wake
2322.6	16	high	wake
2354.6	16	low	wake
2386.6	16	high	wake
2418.6	16	high	NaN
2450.6	16	low	N1
2482.6	16	high	N1
2514.6	16	high	N1
2546.6	16	low	N1
2578.6	16	low	N1
2610.6	16	low	N1
2642.6	16	low	N2
2674.6	16	high	N2
2706.6	16	high	N2
2738.6	16	high	N2
2770.6	16	low	N2
2802.6	16	high	N1
2834.6	16	low	N1
2866.6	16	high	NaN
2898.6	16	low	N1
2930.6	16	low	N1
2962.6	16	high	N1
2994.6	16	high	NaN
3026.6	16	low	wake
3058.6	16	low	wake
3090.5	16	high	wake
3122.5	16	high	wake
3154.5	16	low	wake
3186.5	16	high	wake
3218.5	16	low	N1
3250.5	16	low	wake
3282.5	16	high	wake
3314.5	16	high	wake
3346.6	16	low	N1
3378.6	16	high	N1
3410.5	16	high	N1
3442.5	16	low	NaN
3474.5	16	low	wake
3506.5	16	high	NaN
3538.5	16	high	NaN
3570.5	16	low	N1
3602.5	16	low	N1
3634.6	16	high	N1
3666.6	16	low	N1
3698.5	16	high	N1
3730.5	16	high	N1
3762.5	16	low	N1
3794.5	16	high	N1
3826.5	16	low	N1
3858.5	16	high	N1
3890.5	16	high	N1
3922.5	16	high	N1
3954.6	16	high	N1
3986.5	16	low	N1
4018.6	16	low	N1
4050.6	16	low	N1
