onset	duration	trial type	value
16.088	16	low	wake
48.121	16	low	wake
80.153	16	high	wake
112.2	16	high	wake
144.26	16	high	wake
176.3	16	high	wake
208.35	16	low	NaN
240.38	16	high	wake
272.38	16	low	wake
304.44	16	low	N1
336.45	16	low	N1
368.49	16	low	N1
400.53	16	high	wake
432.53	16	high	wake
464.55	16	high	N1
496.56	16	low	N1
528.59	16	high	N1
560.64	16	high	N1
592.69	16	high	N1
624.71	16	high	N1
656.72	16	low	N1
688.75	16	high	N1
720.78	16	low	wake
752.81	16	low	N1
784.81	16	high	wake
816.83	16	high	wake
848.83	16	high	wake
880.84	16	high	wake
912.85	16	low	wake
944.9	16	low	wake
976.94	16	low	wake
1009	16	high	wake
1041	16	high	wake
1073	16	low	wake
1105	16	low	wake
1137.1	16	high	wake
1169.1	16	high	NaN
1201.1	16	high	N1
1233.1	16	low	N1
1265.2	16	high	N1
1297.2	16	low	N1
1329.2	16	low	N1
1361.3	16	low	N1
1393.3	16	low	wake
1425.3	16	high	wake
1457.3	16	low	NaN
1489.3	16	low	wake
1521.4	16	high	wake
1553.4	16	low	wake
1585.4	16	high	wake
1617.4	16	low	NaN
1649.5	16	high	wake
1681.6	16	low	N1
1714.2	16	high	N1
1746.2	16	low	N1
1778.2	16	high	N1
1810.2	16	high	wake
1842.3	16	low	N1
1874.3	16	low	wake
1906.3	16	high	wake
1938.3	16	high	NaN
1970.4	16	high	NaN
2002.4	16	high	NaN
2034.4	16	high	N1
2066.5	16	low	N1
2098.5	16	low	N1
2130.5	16	high	N1
2162.5	16	low	N1
2194.5	16	low	N1
2226.6	16	low	wake
2258.6	16	low	wake
2290.6	16	low	wake
2322.7	16	high	wake
2354.7	16	high	N1
2386.7	16	low	N1
2418.7	16	low	N1
2450.8	16	low	NaN
2482.8	16	high	NaN
2514.8	16	high	N1
2546.9	16	low	N1
2578.9	16	high	NaN
2610.9	16	low	wake
2643	16	high	N1
2675	16	low	N1
2707	16	low	wake
2739	16	low	wake
2771	16	low	wake
2803.1	16	high	wake
2835.1	16	low	N1
2867.1	16	low	NaN
2899.2	16	high	NaN
2931.2	16	high	N1
2963.2	16	low	N1
2995.2	16	low	N1
3027.2	16	high	N1
3059.2	16	high	N1
3091.3	16	high	wake
3123.3	16	low	wake
3155.3	16	high	wake
3187.4	16	high	wake
3219.4	16	high	N1
3251.4	16	high	N1
3283.4	16	high	wake
3315.5	16	high	NaN
3347.5	16	low	N1
3379.5	16	high	NaN
3411.6	16	low	NaN
3443.6	16	low	NaN
3475.6	16	low	NaN
3507.7	16	high	N1
3539.7	16	high	N1
3571.7	16	high	N1
3603.8	16	low	wake
3635.8	16	low	N1
3667.9	16	low	N1
3699.9	16	low	N1
3731.9	16	high	wake
3763.9	16	high	wake
3795.9	16	high	wake
3828	16	high	NaN
3860	16	low	NaN
3892	16	low	NaN
3924	16	low	N1
3956.1	16	low	N1
3988.1	16	high	NaN
4020.2	16	high	wake
4052.2	16	low	N1
