onset	duration	trial type	value
16.053	16	low	wake
48.048	16	high	wake
80.049	16	high	wake
112.05	16	low	wake
144.06	16	low	wake
176.06	16	high	wake
208.05	16	high	wake
240.08	16	high	wake
272.08	16	high	wake
304.08	16	low	N1
336.08	16	high	wake
368.15	16	low	N1
400.26	16	low	N1
432.26	16	low	N1
464.26	16	high	N1
496.26	16	high	N2
528.26	16	high	N2
560.29	16	high	N2
592.3	16	high	N2
624.3	16	low	N2
656.4	16	high	N2
688.56	16	low	NaN
720.56	16	low	N2
752.55	16	low	N2
784.55	16	low	N2
816.6	16	high	N2
848.71	16	low	N2
880.73	16	low	N2
912.72	16	high	N2
944.72	16	high	N2
976.72	16	high	N2
1008.7	16	low	N2
1040.7	16	low	N2
1072.7	16	high	N2
1104.7	16	low	N2
1136.7	16	low	N2
1168.7	16	high	N2
1200.7	16	low	N2
1232.7	16	high	N2
1264.7	16	high	N2
1296.7	16	low	N2
1328.7	16	low	N2
1360.7	16	low	N2
1392.7	16	high	N2
1424.7	16	low	N2
1456.7	16	high	N2
1488.7	16	low	NaN
1520.7	16	high	NaN
1552.7	16	low	NaN
1584.7	16	low	NaN
1616.7	16	low	NaN
1648.7	16	low	NaN
1680.7	16	low	NaN
1712.7	16	high	N2
1744.7	16	high	wake
1776.7	16	low	N1
1808.7	16	low	N1
1840.7	16	high	N1
1872.7	16	low	N1
1904.7	16	high	wake
1936.7	16	low	N1
1968.7	16	high	NaN
2000.7	16	high	NaN
2032.7	16	low	N1
2064.7	16	high	N1
2096.7	16	high	N1
2128.7	16	low	N1
2160.7	16	high	N2
2192.7	16	low	N2
2224.7	16	high	N2
2256.7	16	low	N2
2288.7	16	low	N2
2320.7	16	low	N2
2352.7	16	high	N2
2384.7	16	high	N2
2416.7	16	low	N2
2448.7	16	low	N2
2480.7	16	high	NaN
2512.7	16	low	NaN
2544.7	16	low	N2
2576.7	16	high	N2
2608.7	16	high	NaN
2640.7	16	high	wake
2672.7	16	high	wake
2704.7	16	high	wake
2736.7	16	low	N1
2768.7	16	low	N1
2800.7	16	high	N2
2832.7	16	high	N2
2864.7	16	low	N2
2896.7	16	low	N2
2928.7	16	high	N2
2960.7	16	high	N2
2992.7	16	low	N2
3024.7	16	high	N2
3056.7	16	high	NaN
3088.7	16	high	N1
3120.7	16	low	N1
3152.7	16	high	N1
3184.7	16	low	N2
3216.7	16	high	N2
3248.7	16	high	N2
3280.7	16	low	N2
3312.7	16	low	N2
3344.7	16	high	N2
3376.7	16	low	N2
3408.7	16	low	N2
3440.7	16	high	N2
3472.7	16	low	N2
3504.7	16	low	N2
3536.7	16	low	N2
3568.7	16	low	N2
3600.7	16	low	N2
3632.7	16	high	N2
3664.7	16	high	N2
3696.7	16	low	N2
3728.7	16	high	N2
3760.7	16	high	N2
3792.7	16	high	N2
3824.7	16	high	N2
3856.7	16	low	N2
3888.8	16	high	N2
3920.8	16	high	N2
3952.8	16	low	N2
3984.8	16	high	N2
4016.8	16	high	N2
4048.8	16	low	N2
