onset	duration	trial type	value
16.077	16	high	NaN
48.079	16	low	N1
80.078	16	high	N1
112.08	16	low	N1
144.09	16	low	N1
176.11	16	low	NaN
208.11	16	high	NaN
240.11	16	low	N2
272.11	16	high	N2
304.11	16	high	N2
336.1	16	high	N2
368.1	16	high	N2
400.1	16	low	N1
432.1	16	low	N2
464.1	16	high	N2
496.1	16	high	NaN
528.1	16	high	N1
560.09	16	high	N1
592.09	16	high	NaN
624.09	16	high	N2
656.09	16	high	N2
688.09	16	low	N2
720.09	16	low	N2
752.08	16	low	N2
784.1	16	high	N2
816.1	16	low	N2
848.1	16	low	N2
880.09	16	low	N2
912.09	16	low	N2
944.09	16	high	N2
976.1	16	low	N2
1008.1	16	low	NaN
1040.1	16	high	N1
1072.1	16	high	NaN
1104.1	16	high	N2
1136.1	16	high	NaN
1168.1	16	low	N1
1200.1	16	high	N1
1232.1	16	low	N1
1264.1	16	low	N2
1296.1	16	high	N2
1328.1	16	low	N2
1360.1	16	high	N2
1392.1	16	low	N2
1424.1	16	low	N1
1456.1	16	low	NaN
1488.1	16	low	NaN
1520.2	16	high	N2
1552.2	16	low	N2
1584.2	16	low	N2
1616.2	16	low	N2
1648.2	16	high	N2
1680.2	16	high	N1
1712.2	16	low	N1
1744.2	16	high	N2
1776.2	16	high	N2
1808.2	16	low	N2
1840.2	16	high	N2
1872.2	16	low	N2
1904.2	16	high	N2
1936.2	16	high	N2
1968.2	16	low	N2
2000.2	16	high	N2
2032.2	16	high	N2
2064.2	16	low	N2
2096.2	16	high	NaN
2128.2	16	high	NaN
2160.2	16	low	wake
2192.2	16	low	N1
2224.2	16	low	wake
2256.2	16	low	N1
2288.2	16	low	N1
2320.2	16	low	N2
2352.2	16	low	wake
2384.2	16	low	N1
2416.2	16	high	N2
2448.2	16	high	NaN
2480.2	16	low	NaN
2512.2	16	low	wake
2544.2	16	low	NaN
2576.2	16	high	NaN
2608.2	16	low	wake
2640.2	16	high	wake
2672.2	16	low	wake
2704.2	16	high	N1
2736.2	16	high	wake
2768.2	16	low	wake
2800.2	16	low	N1
2832.2	16	high	wake
2864.2	16	low	wake
2896.2	16	high	wake
2928.2	16	low	wake
2960.1	16	low	wake
2992.1	16	low	NaN
3024.1	16	low	NaN
3056.1	16	high	wake
3088.1	16	high	wake
3120.1	16	high	wake
3152.1	16	low	wake
3184.1	16	high	wake
3216.1	16	low	wake
3248.2	16	low	wake
3280.1	16	high	wake
3312.1	16	high	wake
3344.1	16	high	wake
3376.1	16	high	NaN
3408.1	16	high	N1
3440.1	16	low	N1
3472.1	16	high	NaN
3504.1	16	low	wake
3536.1	16	low	wake
3568.1	16	high	wake
3600.1	16	high	wake
3632.1	16	high	wake
3664.1	16	high	wake
3696.1	16	high	wake
3728.1	16	low	wake
3760.1	16	low	wake
3792.1	16	low	wake
3824.1	16	high	wake
3856.1	16	low	wake
3888.1	16	low	wake
3920.1	16	high	NaN
3952.1	16	high	N1
3984.1	16	high	NaN
4016.1	16	high	wake
4048.1	16	high	wake
