onset	duration	trial type	value
16.047	16	low	wake
48.042	16	high	wake
80.035	16	low	wake
112.03	16	low	wake
144.02	16	high	NaN
176.02	16	low	N1
208.01	16	high	N1
240.01	16	low	N1
272.04	16	low	wake
304.04	16	high	wake
336.03	16	high	wake
368.03	16	high	N1
400.03	16	low	N1
432.03	16	low	wake
464.02	16	high	wake
496.02	16	low	NaN
528.07	16	low	NaN
560.07	16	low	N1
592.07	16	low	NaN
624.06	16	low	wake
656.06	16	low	wake
688.06	16	low	NaN
720.06	16	low	wake
752.06	16	low	wake
784.06	16	high	N1
816.06	16	high	wake
848.05	16	low	N1
880.05	16	low	wake
912.05	16	low	N1
944.05	16	low	N1
976.05	16	low	NaN
1008	16	high	N1
1040	16	low	N1
1072	16	low	NaN
1104	16	high	wake
1136	16	high	NaN
1168	16	low	NaN
1200	16	high	wake
1232.1	16	high	wake
1264.1	16	low	wake
1296.1	16	high	N1
1328.1	16	low	N1
1360.1	16	low	N1
1392.1	16	high	N1
1424.1	16	low	N1
1456.1	16	high	N1
1488.1	16	high	N1
1520.1	16	low	N1
1552.1	16	high	N1
1584.1	16	high	N1
1616.1	16	high	NaN
1648.1	16	high	N2
1680.1	16	high	N2
1712.1	16	low	N1
1744.1	16	low	N1
1776.1	16	high	N1
1808.1	16	low	N1
1840.1	16	low	N1
1872.1	16	low	N2
1904.1	16	high	N2
1936.1	16	low	N2
1968.1	16	high	N2
2000.1	16	high	N2
2032.1	16	high	N2
2064.1	16	high	N2
2096.1	16	low	NaN
2128.1	16	high	N1
2160.1	16	low	N2
2192.1	16	high	N2
2224.1	16	high	N2
2256.1	16	low	N2
2288.1	16	high	N2
2320.1	16	low	N2
2352.1	16	low	N2
2384.1	16	low	N2
2416.1	16	low	N2
2448.1	16	high	N2
2480.1	16	high	N2
2512.1	16	low	N2
2544.1	16	high	N2
2576.1	16	low	N2
2608.1	16	high	N2
2640.1	16	high	N2
2672	16	low	N2
2704	16	high	N2
2736	16	high	N2
2768.1	16	high	N2
2800.1	16	low	N2
2832.1	16	high	N2
2864.1	16	low	N2
2896.1	16	high	N2
2928.1	16	low	N2
2960.1	16	high	N2
2992.1	16	high	N2
3024.1	16	high	N2
3056.1	16	high	N2
3088	16	low	N2
3120	16	low	N1
3152	16	low	wake
3184	16	high	wake
3216	16	high	wake
3248	16	high	wake
3280	16	low	wake
3312	16	low	wake
3344	16	high	wake
3376	16	high	wake
3408	16	low	wake
3440	16	high	wake
3472	16	high	NaN
3504	16	low	NaN
3536	16	high	NaN
3568	16	high	NaN
3600	16	high	NaN
3632	16	high	NaN
3664	16	low	NaN
3696	16	high	NaN
3728	16	high	NaN
3760	16	low	NaN
3792	16	low	NaN
3824	16	low	NaN
3856	16	low	NaN
3888	16	high	NaN
3920	16	high	NaN
3952	16	low	NaN
3984	16	high	NaN
4016	16	low	NaN
4048	16	high	NaN
