onset	duration	trial type	value
16.074	16	high	wake
48.089	16	high	wake
80.103	16	high	wake
112.1	16	low	wake
144.12	16	high	wake
176.11	16	high	wake
208.11	16	low	wake
240.11	16	high	wake
272.11	16	low	wake
304.1	16	high	wake
336.1	16	high	wake
368.1	16	low	wake
400.1	16	high	wake
432.09	16	high	wake
464.09	16	high	wake
496.09	16	high	wake
528.1	16	low	wake
560.13	16	high	wake
592.13	16	low	wake
624.13	16	low	wake
656.14	16	low	NaN
688.14	16	low	NaN
720.14	16	high	wake
752.14	16	low	wake
784.13	16	high	wake
816.13	16	high	wake
848.13	16	low	wake
880.13	16	low	wake
912.12	16	low	wake
944.12	16	high	wake
976.12	16	high	wake
1008.1	16	low	wake
1040.1	16	high	NaN
1072.1	16	low	N1
1104.1	16	high	NaN
1136.1	16	low	wake
1168.1	16	low	NaN
1200.1	16	low	wake
1232.1	16	high	wake
1264.1	16	high	wake
1296.1	16	high	wake
1328.1	16	low	wake
1360.1	16	low	wake
1392.1	16	high	wake
1424.1	16	low	N1
1456.1	16	high	NaN
1488.1	16	low	NaN
1520.1	16	low	N1
1552.1	16	high	N1
1584.1	16	low	NaN
1616.1	16	low	wake
1648.1	16	low	wake
1680.1	16	low	wake
1712.1	16	low	N1
1744.1	16	high	wake
1776.1	16	high	N1
1808.1	16	low	N1
1840.1	16	low	wake
1872.1	16	high	wake
1904.1	16	high	wake
1936.1	16	low	wake
1968.1	16	low	wake
2000.1	16	low	wake
2032.1	16	low	wake
2064.1	16	high	wake
2096.1	16	low	wake
2128.1	16	low	wake
2160.1	16	high	N1
2192.1	16	low	wake
2224.1	16	low	wake
2256.1	16	low	wake
2288.1	16	high	wake
2320.1	16	high	wake
2352.1	16	high	wake
2384	16	low	wake
2416	16	high	wake
2448	16	high	wake
2480	16	high	wake
2512	16	high	wake
2544	16	low	wake
2576	16	high	wake
2608	16	low	wake
2640	16	low	wake
2672	16	low	wake
2704	16	high	N1
2736	16	high	N1
2768	16	high	wake
2800	16	low	wake
2832	16	low	wake
2864	16	low	wake
2896	16	low	NaN
2928	16	high	wake
2960	16	high	wake
2992	16	low	NaN
3024	16	low	N1
3056	16	low	N1
3088	16	low	NaN
3120	16	low	wake
3152	16	high	N1
3184	16	high	wake
3216	16	high	wake
3248	16	low	wake
3280	16	high	wake
3312	16	low	N1
3344	16	high	N1
3376	16	low	NaN
3408	16	low	wake
3440	16	high	wake
3472	16	low	NaN
3504	16	high	N1
3536	16	high	N1
3568	16	high	N1
3600	16	high	N1
3632	16	low	N1
3664	16	low	N1
3696	16	high	N1
3728	16	high	N1
3760	16	high	N1
3792	16	high	wake
3824	16	low	N2
3856	16	high	N1
3888	16	high	N1
3920	16	high	N1
3952	16	low	N1
3984	16	high	N1
4016	16	low	N1
4048	16	high	NaN
