onset	duration	trial type	value
16.093	16	low	wake
48.092	16	low	wake
80.088	16	low	wake
112.09	16	high	wake
144.1	16	low	wake
176.12	16	high	wake
208.12	16	low	wake
240.11	16	high	wake
272.11	16	low	wake
304.11	16	high	wake
336.11	16	high	wake
368.11	16	high	N1
400.1	16	low	N1
432.12	16	high	N1
464.12	16	high	N1
496.11	16	low	N1
528.11	16	low	N1
560.11	16	high	N1
592.11	16	high	NaN
624.11	16	high	N2
656.11	16	high	NaN
688.1	16	low	NaN
720.1	16	high	N1
752.1	16	high	N2
784.15	16	low	N2
816.15	16	low	N2
848.14	16	low	N2
880.14	16	high	N2
912.14	16	high	N2
944.14	16	high	N2
976.15	16	low	N2
1008.1	16	high	N2
1040.1	16	low	NaN
1072.2	16	low	wake
1104.2	16	low	NaN
1136.2	16	high	NaN
1168.2	16	low	wake
1200.2	16	low	wake
1232.2	16	high	wake
1264.2	16	low	wake
1296.2	16	low	wake
1328.2	16	high	wake
1360.2	16	low	wake
1392.2	16	low	wake
1424.2	16	high	wake
1456.2	16	low	NaN
1488.2	16	high	N1
1520.2	16	low	NaN
1552.2	16	high	NaN
1584.2	16	high	N2
1616.2	16	high	NaN
1648.2	16	low	wake
1680.2	16	low	N1
1712.2	16	low	N1
1744.2	16	high	N2
1776.2	16	low	N2
1808.2	16	low	N2
1840.2	16	low	N2
1872.2	16	low	N1
1904.2	16	high	N2
1936.2	16	high	NaN
1968.2	16	low	NaN
2000.2	16	high	NaN
2032.2	16	high	N2
2064.2	16	low	N2
2096.2	16	low	N2
2128.2	16	high	NaN
2160.2	16	low	N1
2192.1	16	low	N1
2224.1	16	low	N1
2256.1	16	high	N2
2288.1	16	high	N1
2320.1	16	low	N1
2352.1	16	low	N1
2384.1	16	low	N2
2416.1	16	high	NaN
2448.1	16	low	NaN
2480.1	16	high	NaN
2512.1	16	low	NaN
2544.1	16	high	NaN
2576.1	16	high	wake
2608.1	16	low	NaN
2640.1	16	high	N1
2672.1	16	low	N1
2704.1	16	high	wake
2736.1	16	high	wake
2768.1	16	high	N1
2800.1	16	low	wake
2832.1	16	high	wake
2864.1	16	low	wake
2896.1	16	high	N1
2928.1	16	high	NaN
2960.1	16	high	wake
2992.1	16	high	wake
3024.1	16	low	NaN
3056.1	16	low	NaN
3088.1	16	high	wake
3120.1	16	high	N1
3152.1	16	low	N1
3184.1	16	low	N1
3216.1	16	low	N1
3248.1	16	low	N1
3280.1	16	low	N1
3312.1	16	low	N1
3344.1	16	high	wake
3376.1	16	high	N1
3408.1	16	low	N1
3440.1	16	high	N1
3472.1	16	low	N1
3504.1	16	low	NaN
3536.1	16	low	N2
3568.1	16	high	N2
3600.1	16	high	N2
3632.1	16	high	N2
3664.1	16	high	N1
3696.1	16	low	N1
3728.1	16	high	N2
3760.1	16	high	N2
3792.1	16	low	N2
3824.1	16	low	N2
3856.1	16	high	N2
3888.1	16	high	N2
3920	16	high	N2
3952.1	16	high	NaN
3984.1	16	high	N1
4016.1	16	low	NaN
4048.1	16	high	wake
