onset	duration	trial type	value
16.075	16	high	wake
48.073	16	low	NaN
80.07	16	high	N1
112.07	16	low	N1
144.08	16	high	N1
176.1	16	high	N1
208.09	16	high	N1
240.09	16	high	N1
272.09	16	low	N2
304.16	16	high	N1
336.15	16	high	N2
368.15	16	high	N1
400.15	16	low	N1
432.15	16	high	N1
464.14	16	high	N2
496.14	16	low	N2
528.14	16	low	N2
560.2	16	low	N2
592.23	16	high	N2
624.25	16	low	N2
656.28	16	high	NaN
688.29	16	high	NaN
720.31	16	low	N1
752.32	16	low	N1
784.35	16	high	N1
816.35	16	low	N1
848.35	16	low	N1
880.35	16	high	N1
912.36	16	low	N1
944.39	16	high	N1
976.39	16	high	N1
1008.4	16	low	N1
1040.4	16	high	N1
1072.5	16	low	N1
1104.5	16	low	N1
1136.5	16	low	NaN
1168.5	16	high	NaN
1200.5	16	high	N1
1232.6	16	high	N1
1264.6	16	low	N1
1296.6	16	high	N1
1328.6	16	high	N1
1360.6	16	high	N1
1392.6	16	low	N1
1424.6	16	high	N1
1456.6	16	low	N1
1488.6	16	high	NaN
1520.6	16	high	N2
1552.6	16	low	N2
1584.6	16	high	N2
1616.6	16	high	NaN
1648.6	16	low	NaN
1680.6	16	low	N2
1712.6	16	high	N2
1744.6	16	high	N2
1776.6	16	high	N1
1808.6	16	high	N1
1840.6	16	low	N2
1872.6	16	high	N2
1904.6	16	low	N1
1936.6	16	low	N2
1968.6	16	low	NaN
2000.6	16	high	N1
2032.6	16	high	N1
2064.6	16	high	N1
2096.6	16	low	N1
2128.6	16	low	N1
2160.6	16	high	N1
2192.6	16	low	N1
2224.6	16	low	N2
2256.5	16	high	N2
2288.6	16	high	N2
2320.6	16	low	N2
2352.6	16	low	N2
2384.6	16	high	N2
2416.6	16	low	N2
2448.6	16	high	N2
2480.6	16	low	N2
2512.6	16	high	N2
2544.6	16	high	N2
2576.6	16	low	N2
2608.6	16	low	N2
2640.6	16	high	N2
2672.6	16	low	N2
2704.6	16	low	N1
2736.6	16	low	N1
2768.6	16	high	N1
2800.6	16	low	N1
2832.6	16	low	N2
2864.6	16	low	N1
2896.6	16	low	N1
2928.6	16	low	NaN
2960.6	16	high	NaN
2992.6	16	low	NaN
3024.6	16	high	N2
3056.6	16	high	NaN
3088.6	16	high	N1
3120.6	16	low	N1
3152.6	16	high	N1
3184.6	16	low	N2
3216.6	16	high	N2
3248.6	16	low	N2
3280.6	16	low	N2
3312.6	16	low	N2
3344.6	16	high	N1
3376.6	16	high	N1
3408.6	16	low	N1
3440.6	16	high	N1
3472.6	16	high	N1
3504.6	16	high	N1
3536.6	16	high	N1
3568.6	16	low	N1
3600.5	16	high	N1
3632.5	16	low	N1
3664.5	16	low	N2
3696.5	16	high	N2
3728.5	16	low	N2
3760.5	16	high	N2
3792.5	16	low	N2
3824.5	16	low	N2
3856.5	16	high	N2
3888.5	16	high	N2
3920.5	16	low	N2
3952.5	16	low	N2
3984.5	16	low	N2
4016.5	16	low	N2
4048.6	16	low	N2
