onset	duration	trial type	value
16.092	16	high	wake
48.109	16	low	wake
80.11	16	high	wake
112.11	16	low	wake
144.14	16	high	wake
176.14	16	low	wake
208.14	16	high	wake
240.14	16	high	wake
272.14	16	high	wake
304.19	16	high	wake
336.19	16	low	wake
368.19	16	high	wake
400.19	16	low	wake
432.19	16	high	wake
464.19	16	low	wake
496.19	16	high	wake
528.19	16	high	wake
560.19	16	high	wake
592.19	16	high	wake
624.19	16	low	wake
656.2	16	low	wake
688.2	16	high	wake
720.2	16	high	wake
752.21	16	low	wake
784.33	16	low	wake
816.33	16	high	wake
848.33	16	low	wake
880.32	16	low	N1
912.32	16	high	wake
944.32	16	high	wake
976.32	16	high	wake
1008.3	16	low	wake
1040.3	16	low	wake
1072.3	16	high	wake
1104.3	16	high	wake
1136.3	16	high	wake
1168.3	16	high	wake
1200.3	16	high	wake
1232.3	16	low	wake
1264.3	16	low	wake
1296.3	16	low	wake
1328.3	16	high	wake
1360.3	16	high	wake
1392.3	16	low	wake
1424.3	16	high	wake
1456.3	16	high	wake
1488.3	16	low	wake
1520.3	16	low	wake
1552.3	16	high	wake
1584.3	16	low	wake
1616.3	16	high	wake
1648.3	16	low	wake
1680.3	16	low	wake
1712.3	16	low	wake
1744.3	16	high	wake
1776.3	16	high	wake
1808.3	16	low	wake
1840.3	16	high	wake
1872.3	16	low	wake
1904.3	16	high	wake
1936.3	16	low	wake
1968.8	16	high	wake
2003.1	16	low	wake
2035.1	16	high	wake
2067.1	16	high	wake
2099.1	16	low	wake
2131.1	16	low	wake
2163.1	16	low	wake
2195.1	16	high	wake
2227.1	16	high	wake
2259.1	16	low	wake
2291.1	16	low	wake
2323.1	16	high	wake
2355.1	16	low	wake
2387.1	16	high	wake
2419.1	16	low	wake
2451.1	16	high	wake
2483.1	16	high	wake
2515.1	16	low	NaN
2547.1	16	high	N1
2579.1	16	low	NaN
2611.1	16	low	N1
2643.1	16	high	wake
2675.1	16	low	wake
2707.1	16	high	wake
2739.1	16	high	wake
2771.1	16	high	N1
2803.1	16	high	wake
2835.1	16	low	N1
2867.1	16	low	NaN
2899.1	16	low	NaN
2931.1	16	low	NaN
2963.1	16	high	N1
2995.1	16	low	NaN
3027.1	16	high	NaN
3059.1	16	low	N1
3091.1	16	high	N1
3123.1	16	low	N1
3155.1	16	low	N1
3187.1	16	low	N1
3219.1	16	low	N1
3251.1	16	low	N1
3283.1	16	low	N1
3315.1	16	high	N1
3347.1	16	high	N1
3379.1	16	low	N1
3411.1	16	high	N1
3443.1	16	high	N1
3475.1	16	high	N1
3507.1	16	low	NaN
3539.1	16	low	NaN
3571.1	16	low	N1
3603.1	16	low	N2
3635.1	16	high	N2
3667.1	16	low	N2
3699.1	16	high	N1
3731.1	16	low	N2
3763.1	16	high	N2
3795.1	16	high	N2
3827.1	16	low	wake
3859.1	16	high	wake
3891.1	16	low	wake
3923.1	16	low	wake
3955.1	16	low	wake
3987.1	16	high	wake
4019.1	16	low	wake
4051.1	16	high	wake
