onset	duration	trial type	value
16.017	16	high	wake
48.014	16	low	wake
80.011	16	high	wake
112.02	16	high	wake
144.02	16	high	wake
176.02	16	low	wake
208.08	16	low	wake
240.08	16	low	wake
272.08	16	low	wake
304.07	16	low	wake
336.07	16	high	wake
368.07	16	high	wake
400.07	16	high	wake
432.06	16	low	wake
464.06	16	high	wake
496.06	16	high	NaN
528.05	16	high	NaN
560.05	16	low	NaN
592.05	16	high	NaN
624.05	16	low	N1
656.04	16	high	N1
688.04	16	low	N1
720.07	16	high	N1
752.07	16	high	N1
784.07	16	low	N1
816.07	16	high	N1
848.06	16	low	N2
880.06	16	high	N1
912.06	16	low	N1
944.05	16	low	N1
976.05	16	high	N2
1008.1	16	low	NaN
1040.1	16	low	NaN
1072.1	16	high	NaN
1104.1	16	high	NaN
1136.1	16	high	NaN
1168.1	16	low	N2
1200.1	16	high	N2
1232.1	16	low	N2
1264.1	16	high	N2
1296.1	16	high	N1
1328.1	16	high	N2
1360.1	16	high	N1
1392.1	16	low	N1
1424.1	16	high	N1
1456.1	16	low	N1
1488.1	16	high	NaN
1520.1	16	low	NaN
1552.1	16	high	wake
1584.1	16	high	wake
1616.1	16	high	wake
1648.1	16	low	wake
1680.1	16	low	wake
1712.1	16	high	wake
1744.1	16	high	wake
1776.1	16	low	wake
1808.1	16	high	wake
1840.1	16	high	wake
1872.1	16	high	wake
1904.1	16	high	wake
1936.1	16	low	wake
1968.1	16	low	wake
2000.1	16	low	wake
2032.1	16	low	wake
2064.1	16	high	wake
2096.1	16	low	wake
2128.1	16	high	wake
2160.1	16	low	wake
2192.1	16	low	wake
2224.1	16	high	wake
2256.1	16	low	wake
2288.1	16	low	wake
2320.1	16	low	wake
2352.1	16	high	N1
2384.1	16	low	wake
2416.1	16	low	wake
2448.1	16	high	wake
2480.1	16	high	wake
2512.1	16	low	wake
2544.1	16	low	NaN
2576.1	16	high	N1
2608.1	16	high	N1
2640.1	16	low	N1
2672.1	16	low	N1
2704.1	16	low	N1
2736.1	16	high	N1
2768.1	16	low	N1
2800.1	16	low	N1
2832.1	16	low	N1
2864.1	16	high	N2
2896.1	16	low	NaN
2928.1	16	low	N1
2960.1	16	high	NaN
2992.1	16	high	NaN
3024.1	16	high	NaN
3056.1	16	low	wake
3088.1	16	low	wake
3120.1	16	high	wake
3152.1	16	low	wake
3184.1	16	low	wake
3216.1	16	low	wake
3248.1	16	high	wake
3280.1	16	low	N1
3312.1	16	high	wake
3344.1	16	low	wake
3376.1	16	high	wake
3408.1	16	high	wake
3440.1	16	high	wake
3472.1	16	high	wake
3504.1	16	high	wake
3536.1	16	low	wake
3568.1	16	high	NaN
3600.1	16	low	N1
3632.1	16	low	wake
3664.1	16	high	wake
3696.1	16	low	N1
3728.1	16	high	N1
3760.1	16	low	wake
3792.1	16	low	wake
3824.1	16	high	wake
3856.1	16	high	NaN
3888.1	16	low	N1
3920.1	16	high	NaN
3952.1	16	low	wake
3984.1	16	low	wake
4016.1	16	low	wake
4048.1	16	high	NaN
